Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
21,16,8,0,0,0,7,1,0,0,0,0,3,0,5,0,0,0
17,23,8,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0
15,27,8,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
16,28,8,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
17,27,8,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
25,26,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,24,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
18,20,6,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0
6,4,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17,6,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0
23,24,7,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0
23,26,8,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
15,29,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
13,29,8,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
16,26,8,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0
16,19,8,0,0,0,10,0,0,0,1,0,7,0,0,0,0,0
22,19,8,0,0,0,7,0,0,0,2,0,1,0,2,0,0,0
