Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
18,13,0,0,0,0,10,2,0,0,2,0,5,0,2,0,0,0
19,13,0,0,0,0,7,2,0,0,2,0,7,0,2,0,0,0
32,11,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0
25,11,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0
36,8,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
42,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
45,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
34,9,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
28,10,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0
30,12,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
24,14,1,0,0,0,3,0,0,0,0,0,7,0,3,0,0,0
