Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,14,2,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0
20,14,1,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
27,12,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
25,14,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
26,11,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
22,8,1,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0
19,7,1,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0
19,7,1,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0
33,5,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
38,4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
42,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
42,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,4,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
13,7,1,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0
13,8,1,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0
27,10,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
24,11,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
19,13,1,0,0,0,4,0,1,0,0,0,9,0,0,0,0,0
26,12,1,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0
23,12,1,0,0,0,6,0,3,0,0,0,0,0,2,0,0,0
19,10,1,0,0,0,5,0,3,0,0,0,7,0,2,0,0,0
25,10,2,0,0,0,3,0,3,0,0,0,2,0,2,0,0,0
