Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,9,2,0,0,0,9,1,0,0,0,0,2,0,2,0,0,0
35,11,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
38,11,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
30,10,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0
18,7,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0
18,8,0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0
24,7,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0
18,3,0,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0
48,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
27,3,0,0,0,0,15,1,0,0,0,0,9,0,0,0,0,0
24,5,0,0,0,0,18,1,0,0,0,0,7,0,0,0,0,0
22,8,0,0,0,0,14,1,0,0,0,0,10,0,0,0,0,0
34,9,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
32,9,0,0,0,0,11,1,0,0,0,0,2,0,0,0,0,0
30,9,0,0,0,0,11,1,0,0,0,0,1,0,3,0,0,0
