Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,14,5,0,0,0,8,0,0,0,0,0,8,0,4,0,0,0
36,10,5,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0
41,10,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
44,10,4,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0
43,9,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,3,0,11,0,3,0,0,0,0,0,2,0,0,0,0,0
36,9,3,0,10,0,5,0,0,0,0,0,1,0,0,0,0,0
41,10,4,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0
30,14,5,0,0,0,5,0,0,0,0,0,9,0,1,0,0,0
28,19,5,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0
