Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
21,8,1,0,0,0,13,1,0,0,0,0,9,0,2,0,0,0
30,7,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0
32,9,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
35,7,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
24,6,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0
16,5,0,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0
21,4,0,0,0,0,21,0,0,0,0,0,9,0,0,0,0,0
47,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
47,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
49,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
40,4,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
31,4,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0
27,5,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0
31,7,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
26,7,1,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0
27,7,1,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0
26,6,1,0,0,0,13,0,0,0,0,0,8,0,1,0,0,0
33,9,1,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0
32,11,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
28,11,1,0,0,0,6,0,0,0,0,0,7,0,2,0,0,0
