Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,15,6,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
13,17,6,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
14,16,6,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
18,19,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
12,18,6,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
7,18,5,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0
14,15,5,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
24,14,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
29,9,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,12,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
16,13,5,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
8,19,5,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0
11,21,5,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
16,21,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
16,18,6,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0
14,17,6,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
