Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
24,11,3,0,0,0,8,0,0,0,0,0,3,0,3,0,0,0
24,10,3,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
24,10,3,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
30,9,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
27,9,4,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
27,8,4,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
27,6,4,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
26,6,3,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0
26,6,2,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
28,3,2,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0
41,0,2,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
47,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
49,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
43,1,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
35,2,2,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
10,3,2,0,0,0,21,0,0,0,0,0,16,0,0,0,0,0
27,7,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
27,7,4,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
27,8,4,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
25,7,4,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
25,8,4,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
23,8,4,0,0,0,12,0,1,0,0,0,4,0,0,0,0,0
22,11,4,0,0,0,12,0,1,0,0,0,2,0,0,0,0,0
25,9,2,0,0,0,10,1,1,0,0,0,1,0,3,0,0,0
