Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
11,18,11,0,0,0,6,0,1,0,0,0,4,0,0,0,0,0
8,21,12,0,0,0,5,0,1,0,0,0,4,0,0,0,0,0
6,22,14,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0
9,20,16,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
9,21,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6,22,19,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
5,19,19,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
7,14,20,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
8,14,20,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
14,10,18,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
14,11,15,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
8,10,14,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0
16,9,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
19,6,11,2,0,0,11,0,0,0,0,0,2,0,0,0,0,0
24,3,11,5,0,0,4,0,0,0,0,0,4,0,0,0,0,0
32,3,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,2,5,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,1,3,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,9,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0
21,6,12,4,0,0,3,0,0,0,0,0,5,0,0,0,0,0
21,8,14,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0
15,8,16,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
14,10,17,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
9,12,18,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
8,15,18,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
5,13,20,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
6,15,20,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
9,15,19,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
10,18,20,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
11,16,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5,16,18,0,0,0,7,0,0,0,0,0,4,0,1,0,0,0
7,16,16,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0
10,14,12,0,0,0,9,0,0,0,0,0,4,0,2,0,0,0
