Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
15,9,8,0,0,0,9,0,0,0,0,0,8,0,4,0,0,0
19,13,11,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0
23,11,11,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
20,11,13,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
14,16,14,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
15,17,14,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
20,16,14,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
18,14,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
20,14,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
15,15,11,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
16,10,9,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
13,5,7,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0
31,4,5,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
36,3,4,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0
41,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,42,0,0,2,0,0,0,0,0,2,0,0,0,0,0
41,3,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0
35,3,7,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0
35,4,8,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
14,7,9,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0
15,7,10,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0
15,10,10,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
17,14,11,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
15,17,12,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
20,17,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18,15,14,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0
15,15,14,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
19,14,12,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
18,11,9,1,0,0,11,0,0,0,0,0,2,0,1,0,0,0
15,8,8,1,0,0,13,0,0,0,0,0,5,0,3,0,0,0
