Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,19,1,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0
30,16,2,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
20,13,2,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0
31,10,2,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
33,10,3,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
30,7,3,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0
24,6,3,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0
35,5,3,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0
27,7,3,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0
32,7,3,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0
28,8,2,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0
24,8,2,0,0,0,18,0,0,0,0,0,7,0,0,0,0,0
42,7,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
35,6,1,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0
26,3,1,0,0,0,7,0,0,0,0,0,22,0,0,0,0,0
53,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
54,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,3,0,0,0,0,7,0,0,0,0,0,24,0,0,0,0,0
38,6,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0
38,6,2,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
25,8,2,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0
30,8,2,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0
29,7,2,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0
25,6,3,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0
28,4,3,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0
27,3,3,0,0,0,19,0,0,0,0,0,7,0,0,0,0,0
34,5,3,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0
33,8,3,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0
29,13,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
24,14,3,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
21,17,1,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0
22,19,1,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0
25,20,1,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
27,17,1,0,0,0,5,0,0,0,0,0,6,0,3,0,0,0
