Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
12,18,15,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0
9,19,15,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0
5,21,18,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
4,15,20,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2,13,21,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0
1,14,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
4,14,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
9,18,19,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
10,20,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,15,17,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0
12,13,14,0,1,0,7,0,0,0,0,0,4,0,0,0,0,0
13,11,7,0,1,0,4,0,0,0,0,0,15,0,0,0,0,0
27,11,4,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0
34,10,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,4,1,30,1,0,0,0,0,0,0,0,3,0,0,0,0,0
7,3,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,47,1,0,0,0,0,0,0,0,3,0,0,0,0,0
4,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,11,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
16,11,7,0,1,0,4,0,0,0,0,0,12,0,0,0,0,0
12,15,17,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
11,16,18,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
7,21,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,18,21,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
5,17,21,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2,18,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
6,14,21,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
8,17,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
10,17,18,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0
10,15,18,0,0,0,4,0,0,0,1,0,1,0,2,0,0,0
12,14,15,0,0,0,3,0,0,0,1,0,3,0,3,0,0,0
