Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
11,10,0,0,0,4,15,1,1,0,1,0,19,0,5,0,0,0
26,20,0,0,0,4,14,1,0,0,0,0,0,0,2,0,0,0
27,27,0,0,0,4,4,1,0,0,0,0,4,0,0,0,0,0
33,26,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0
25,25,0,0,0,7,1,0,0,0,0,0,9,0,0,0,0,0
29,23,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0
29,21,0,0,2,12,0,0,0,0,0,0,3,0,0,0,0,0
23,17,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,33,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,38,27,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,35,27,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,33,27,0,0,0,0,0,0,0,0,0,0,0,0
25,12,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0
31,14,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0
32,14,0,0,0,17,1,0,0,0,0,0,3,0,0,0,0,0
29,14,0,0,0,15,4,0,0,0,0,0,5,0,0,0,0,0
30,16,0,0,0,13,5,0,0,0,0,0,3,0,0,0,0,0
21,16,0,0,0,12,9,1,0,0,0,0,8,0,0,0,0,0
24,17,1,0,0,9,9,1,0,0,0,0,4,0,2,0,0,0
28,14,1,0,0,9,2,2,0,0,0,0,3,0,8,0,0,0
28,14,2,0,0,9,3,2,0,0,0,0,2,0,7,0,0,0
