Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
17,15,1,0,0,0,5,1,0,0,0,0,5,0,1,0,0,0
13,17,1,0,0,0,7,1,0,0,0,0,5,0,1,0,0,0
13,23,1,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0
16,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,27,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
13,25,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
14,23,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
18,18,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
25,16,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
28,12,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0
19,18,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
16,22,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
14,23,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
12,26,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0
12,26,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0
14,23,1,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0
