Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
27,8,3,1,0,0,6,0,0,0,0,0,3,0,3,0,0,0
25,9,3,0,0,0,5,0,0,0,0,0,8,0,1,0,0,0
27,12,3,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
20,13,2,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
21,18,2,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
19,16,2,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
18,15,2,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
27,15,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
33,14,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
34,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
26,14,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0
22,16,2,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
19,17,2,0,0,0,8,0,1,0,0,0,4,0,0,0,0,0
19,18,2,0,0,0,9,0,1,0,0,0,2,0,0,0,0,0
17,12,2,0,0,0,11,0,1,0,0,0,8,0,0,0,0,0
29,11,2,0,0,0,6,0,1,0,0,0,1,0,1,0,0,0
29,9,2,0,0,0,5,1,1,1,0,0,2,0,1,0,0,0
