Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
31,10,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0
30,6,0,0,0,0,7,0,0,0,1,0,5,0,1,0,0,0
33,4,0,0,0,0,7,0,0,0,1,0,5,0,0,0,0,0
33,4,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
25,3,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0
14,2,0,0,0,0,19,0,0,0,0,0,15,0,0,0,0,0
48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
24,3,0,0,0,0,14,0,1,0,0,0,8,0,0,0,0,0
24,5,0,0,0,0,17,0,1,0,0,0,3,0,0,0,0,0
25,6,0,0,0,0,13,0,1,0,0,0,5,0,0,0,0,0
27,7,0,0,0,0,11,1,1,0,0,0,3,0,0,0,0,0
32,7,0,0,0,0,4,1,1,0,0,0,5,0,0,0,0,0
