Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
17,17,3,0,0,0,12,1,0,0,0,0,5,0,3,0,0,0
22,20,3,0,0,0,7,1,0,0,0,0,4,0,1,0,0,0
27,19,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
28,17,1,0,1,0,8,0,0,0,0,0,3,0,0,0,0,0
31,15,1,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0
35,12,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0
33,10,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
32,11,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
34,13,1,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0
34,14,1,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0
25,16,1,0,2,0,5,0,1,0,0,0,8,0,0,0,0,0
27,18,1,0,0,0,5,0,1,0,0,0,6,0,0,0,0,0
30,20,2,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0
29,17,2,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0
12,12,2,0,0,0,14,1,1,0,1,0,10,0,5,0,0,0
21,13,2,1,0,0,11,1,1,0,1,0,1,0,6,0,0,0
