Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
26,14,1,0,0,0,7,0,0,0,1,0,5,0,0,0,0,0
31,16,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
27,14,1,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
24,15,1,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
22,16,1,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
23,14,1,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0
12,9,0,0,0,0,19,0,0,0,0,0,14,0,0,0,0,0
41,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
45,5,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
48,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
40,5,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
10,7,1,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0
27,10,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
18,11,2,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0
27,15,2,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
24,14,2,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
27,14,2,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
27,14,2,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
30,11,2,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0
