Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,10,2,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0
29,10,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
28,11,2,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
30,9,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
25,6,2,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0
14,3,1,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0
43,3,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
46,2,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
49,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,2,1,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0
45,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
25,4,1,0,0,0,11,1,0,0,0,0,11,0,0,0,0,0
30,7,2,0,0,0,11,1,0,0,0,0,2,0,0,0,0,0
28,9,2,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0
15,10,2,0,0,0,19,1,0,0,0,0,5,0,1,0,0,0
19,9,2,0,0,0,18,1,0,0,0,0,3,0,1,0,0,0
27,11,2,0,0,0,8,1,0,1,0,0,3,0,0,0,0,0
28,10,2,0,0,0,3,1,0,1,0,0,4,0,4,0,0,0
