Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,12,1,0,0,1,13,1,1,0,0,0,2,0,3,0,0,0
17,18,1,0,0,1,11,1,0,0,0,0,5,0,2,0,0,0
15,23,1,0,0,1,13,1,0,0,0,0,2,0,0,0,0,0
16,21,1,0,0,2,14,0,0,0,0,0,2,0,0,0,0,0
21,21,1,0,1,2,8,0,0,0,0,0,2,0,0,0,0,0
28,20,1,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0
29,18,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0
21,11,1,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0
25,8,1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0
26,17,2,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0
29,21,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
25,22,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
20,22,2,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0
13,20,2,0,0,0,13,1,0,0,0,0,6,0,1,0,0,0
20,20,2,0,0,0,10,1,0,0,0,0,2,0,1,0,0,0
22,17,2,0,0,0,8,1,1,0,0,0,4,0,1,0,0,0
28,11,2,0,0,0,8,1,2,0,0,0,0,0,4,0,0,0
