Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
18,4,2,0,0,0,9,0,0,0,0,0,6,0,1,0,0,0
19,6,2,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
20,6,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
24,6,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
32,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,6,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
23,5,0,7,0,0,1,0,0,0,0,0,4,0,0,0,0,0
27,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
20,5,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0
30,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
27,6,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
