Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
17,11,7,0,0,0,9,0,1,1,0,0,3,0,1,0,0,0
19,10,7,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0
16,11,7,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
18,15,7,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
24,14,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
23,13,7,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
25,13,7,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
28,13,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,13,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,13,6,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0
23,14,7,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
26,14,7,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
15,14,7,0,0,0,7,0,1,0,0,0,5,0,1,0,0,0
19,10,7,0,0,0,9,0,1,0,1,0,2,0,1,0,0,0
16,8,7,0,0,0,13,0,1,0,1,0,2,0,2,0,0,0
