Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,17,2,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0
17,14,3,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0
24,15,3,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
22,15,3,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
19,15,3,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0
24,9,4,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
33,8,4,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
30,6,4,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
22,5,3,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0
19,5,3,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0
19,4,2,0,0,0,22,0,0,0,0,0,8,0,0,0,0,0
41,2,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
49,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
49,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
44,2,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10,0,0,43,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
45,2,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
35,2,1,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
16,2,1,0,0,0,30,1,0,0,0,0,5,0,0,0,0,0
15,5,2,0,0,0,29,1,0,0,0,0,3,0,0,0,0,0
31,9,3,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0
33,8,3,0,0,0,6,1,0,0,0,0,4,0,0,0,0,0
29,10,3,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0
11,12,4,0,0,0,16,1,0,0,0,0,11,0,0,0,0,0
22,15,3,0,0,0,12,1,0,0,0,0,2,0,0,0,0,0
30,14,3,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0
22,11,3,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0
30,14,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
32,13,3,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0
30,11,3,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
