Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
20,27,5,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0
15,25,5,0,0,0,12,0,0,0,0,0,8,0,1,0,0,0
21,29,5,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
25,29,4,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
27,25,4,0,1,0,3,0,0,0,0,0,6,0,0,0,0,0
32,24,4,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0
32,21,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
31,14,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
28,22,4,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0
27,25,4,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
25,27,4,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0
22,32,4,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0
18,27,4,0,0,0,5,0,1,0,0,0,9,0,2,0,0,0
21,31,4,1,0,0,3,0,1,0,0,0,2,0,3,0,0,0
