Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
24,19,3,0,0,0,3,0,0,0,2,0,3,0,1,0,0,0
28,16,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
21,17,3,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
18,20,3,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
19,17,3,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0
30,16,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
30,14,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
34,12,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
40,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
29,12,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0
33,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
19,17,3,0,0,0,5,0,0,0,0,0,10,0,1,0,0,0
18,20,3,0,0,0,9,1,0,0,0,0,3,0,1,0,0,0
19,15,3,0,0,0,12,1,0,0,0,0,4,0,1,0,0,0
20,14,3,0,0,0,11,1,0,0,0,0,3,0,3,0,0,0
19,16,3,0,0,0,10,1,0,0,0,0,1,0,5,0,0,0
