Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,12,3,1,0,0,6,0,0,0,0,0,3,0,2,0,0,0
30,11,2,0,0,0,9,0,0,0,0,0,4,0,1,0,0,0
30,9,3,0,0,0,6,0,0,0,0,0,7,0,2,0,0,0
33,11,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
25,8,4,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0
23,11,4,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0
25,11,3,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
29,11,3,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
31,12,3,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
34,11,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
23,9,3,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0
19,6,2,0,0,0,17,0,0,0,0,0,13,0,0,0,0,0
42,5,2,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
48,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,3,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,1,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0
41,4,1,1,0,0,8,0,0,0,0,0,2,0,0,0,0,0
26,4,2,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0
19,7,2,0,0,0,19,0,0,0,0,0,10,0,0,0,0,0
26,10,3,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
29,10,3,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0
28,10,3,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
33,11,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
37,10,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
31,10,3,0,0,0,4,0,0,0,0,0,8,0,1,0,0,0
28,12,4,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
25,10,4,0,0,0,14,0,0,1,0,0,3,0,0,0,0,0
23,13,4,0,0,0,14,0,0,1,0,0,2,0,0,0,0,0
