Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,15,2,0,0,0,3,0,0,0,0,0,6,0,1,0,0,0
28,14,2,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0
25,14,2,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
22,13,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
14,10,2,0,0,0,18,0,0,0,0,0,8,0,0,0,0,0
21,7,3,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0
31,8,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
35,8,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
35,8,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
30,7,2,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0
29,9,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
16,6,1,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0
23,6,1,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0
40,3,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
45,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
41,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0
37,3,1,1,0,0,8,0,0,0,0,0,2,0,0,0,0,0
20,4,1,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0
29,6,1,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
27,8,1,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0
32,7,2,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0
32,8,2,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
27,9,3,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
20,10,3,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0
24,10,3,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0
20,8,3,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0
23,11,2,0,0,0,8,0,0,0,0,0,7,0,1,0,0,0
25,11,2,0,0,0,6,0,1,0,0,0,6,0,1,0,0,0
26,14,2,0,0,0,3,0,1,0,0,0,5,0,1,0,0,0
