Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
13,21,3,0,0,0,12,0,0,1,0,0,7,0,9,0,0,0
24,25,3,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0
30,20,3,0,3,0,7,0,0,0,0,0,3,0,0,0,0,0
40,15,3,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0
41,15,3,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0
38,15,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
27,16,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
36,17,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
37,19,2,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0
34,20,2,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0
25,23,3,0,0,0,8,0,0,0,0,0,5,0,2,0,0,0
