Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
11,8,0,0,0,0,5,1,0,0,1,0,3,0,0,0,0,0
20,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,6,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0
19,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
19,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
13,4,0,0,0,0,6,0,0,0,0,0,5,0,1,0,0,0
15,3,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
19,2,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
20,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
15,3,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0
19,4,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
15,6,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
16,5,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
10,5,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
18,4,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0
18,3,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
18,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
18,4,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0
11,5,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0
18,5,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
19,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
21,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
16,2,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
18,2,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
14,1,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
19,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
15,3,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
20,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,6,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0
