Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
19,12,3,0,0,0,21,1,0,0,1,0,5,0,2,0,0,0
23,16,3,0,0,0,18,1,0,0,0,0,2,0,1,0,0,0
20,19,3,0,0,0,13,1,0,0,0,0,8,0,0,0,0,0
32,19,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
41,15,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0
38,13,2,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0
37,12,2,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0
30,9,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
40,13,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0
45,13,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0
40,14,1,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0
31,17,2,0,0,0,8,1,0,0,0,0,5,0,0,0,0,0
13,17,3,0,0,0,15,1,1,0,0,0,11,0,3,0,0,0
