Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,17,0,0,0,0,6,0,0,0,1,0,2,0,3,0,0,0
21,19,0,0,0,0,5,0,0,0,0,0,5,0,1,0,0,0
26,21,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
18,19,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
20,17,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
18,13,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0
13,10,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0
12,8,0,0,0,0,23,0,0,0,0,0,8,0,0,0,0,0
40,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
47,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
42,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
12,8,0,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0
17,12,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0
21,16,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
27,17,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
24,18,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
24,20,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
16,19,0,0,0,0,7,1,0,0,0,0,5,0,3,0,0,0
