Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
27,10,1,0,0,0,5,0,0,0,0,0,4,0,2,0,0,0
29,10,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
28,9,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
16,10,2,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0
19,12,3,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
15,14,3,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0
21,11,3,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
16,14,3,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0
14,13,3,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0
16,14,3,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0
21,11,3,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
28,10,3,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
36,7,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
37,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,3,1,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,7,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,8,2,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0
18,12,2,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0
21,14,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
23,15,3,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
22,12,3,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
18,11,3,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
15,12,3,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
17,11,3,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
28,11,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
30,10,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
25,11,2,0,0,0,6,1,0,0,0,0,4,0,0,0,0,0
