Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
31,13,1,0,0,0,6,0,1,0,0,1,2,0,1,0,0,0
28,15,1,0,0,0,8,0,1,0,0,1,2,0,0,0,0,0
14,14,0,0,0,0,14,0,1,0,0,0,12,0,1,0,0,0
25,16,1,0,0,0,11,0,0,0,0,0,2,0,1,0,0,0
31,16,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
30,17,1,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0
18,13,1,0,0,0,8,1,0,0,0,0,15,0,0,0,0,0
30,15,1,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0
27,13,1,0,0,0,10,1,0,0,0,0,4,0,0,0,0,0
22,13,1,0,0,0,16,1,0,0,0,0,3,0,0,0,0,0
23,8,1,0,0,0,19,1,0,0,0,0,4,0,0,0,0,0
21,7,1,0,0,0,16,1,0,0,0,0,10,0,0,0,0,0
39,6,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
45,4,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0
47,2,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0
15,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
19,5,1,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0
18,7,1,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0
26,11,1,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
30,15,1,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
31,16,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
28,14,1,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0
30,14,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
24,16,1,0,0,0,8,1,1,0,0,0,5,0,0,0,0,0
23,11,2,0,0,0,10,1,1,0,0,0,7,0,1,0,0,0
28,14,2,0,0,0,7,1,1,0,1,0,2,0,0,0,0,0
23,11,2,0,0,0,11,1,1,0,2,0,1,0,4,0,0,0
