Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,15,2,0,0,0,6,1,0,0,0,0,6,0,2,0,0,0
29,12,2,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
28,13,3,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
27,15,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
18,15,2,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0
24,11,2,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0
15,9,1,0,0,0,23,0,0,0,0,0,6,0,0,0,0,0
23,12,1,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
25,16,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
26,14,1,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
24,13,1,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0
35,11,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
34,11,1,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0
36,7,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10,0,1,3,0,3,0,0,0,0,0,3,0,0,0,0,0
33,10,1,0,2,0,5,0,0,0,0,0,3,0,0,0,0,0
24,10,1,0,1,0,9,0,0,0,0,0,9,0,0,0,0,0
27,10,2,0,1,0,12,0,0,0,0,0,2,0,0,0,0,0
22,15,2,0,1,0,10,0,0,0,0,0,4,0,0,0,0,0
22,13,3,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
14,12,3,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0
18,12,3,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0
26,17,3,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0
23,17,3,0,0,0,5,0,0,0,1,0,5,0,0,0,0,0
24,15,3,0,0,0,5,0,0,0,2,0,5,0,0,0,0,0
27,13,3,0,0,0,6,1,0,0,2,0,1,0,1,0,0,0
