Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,19,3,0,0,0,9,0,0,0,0,0,1,0,3,0,0,0
18,17,2,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0
29,17,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
27,14,2,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0
30,14,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
27,14,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,2,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0
28,15,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
28,16,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
18,17,3,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0
23,17,3,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
22,17,3,0,0,0,4,1,0,0,1,0,1,0,2,0,0,0
20,12,3,0,0,0,3,1,0,1,1,0,5,0,5,0,0,0
