Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,25,1,0,0,0,11,0,0,0,0,0,7,0,2,0,0,0
29,24,1,0,0,0,8,0,0,0,0,0,5,0,1,0,0,0
33,20,1,0,5,0,6,0,0,0,0,0,3,0,0,0,0,0
36,18,0,0,8,0,2,0,0,0,0,0,4,0,0,0,0,0
37,17,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0
31,13,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0
8,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
35,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
39,22,1,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0
37,23,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
32,23,1,0,1,0,6,0,0,0,0,0,5,0,0,0,0,0
30,25,1,0,0,0,9,0,0,0,1,0,2,0,0,0,0,0
24,28,1,0,0,0,10,0,0,0,1,0,4,0,0,0,0,0
17,22,1,0,0,0,15,0,0,0,2,0,7,0,4,0,0,0
