Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
10,14,17,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
9,13,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
6,11,21,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
8,13,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5,12,21,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
9,10,21,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
10,7,21,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
16,6,21,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
20,6,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
23,4,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,16,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,4,17,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0
16,7,18,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0
9,7,21,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
9,10,21,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
6,12,22,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
9,12,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
8,10,23,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
9,13,22,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0
9,11,20,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
10,11,16,0,0,0,8,0,0,0,0,0,2,0,2,0,0,0
