Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
14,22,0,0,0,0,9,9,0,0,0,0,5,0,0,0,0,0
11,29,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0
16,28,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
29,26,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
32,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,26,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
27,26,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
28,26,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
18,27,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
12,27,0,0,0,0,11,8,0,0,0,0,1,0,0,0,0,0
13,21,0,0,0,0,10,9,0,0,0,0,5,0,1,0,0,0
