Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
13,14,7,0,0,0,11,0,1,0,2,0,1,0,15,0,0,0
13,29,7,0,0,0,7,0,0,0,0,0,5,0,3,0,0,0
16,33,7,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0
22,31,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
21,28,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
27,26,4,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0
28,26,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
25,24,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
22,16,2,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0
26,20,4,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0
25,27,4,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0
20,28,5,0,4,0,3,0,0,0,0,0,3,0,1,0,0,0
18,33,5,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
11,31,5,0,0,0,9,0,0,0,0,1,1,0,6,0,0,0
