Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
12,15,4,0,0,0,7,0,2,0,0,0,6,0,0,0,0,0
15,15,4,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
20,15,5,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
19,15,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
16,12,6,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
13,9,5,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0
17,7,5,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
23,7,5,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
28,4,5,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
23,4,4,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
23,3,3,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0
26,3,2,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0
16,2,2,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0
36,2,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
39,1,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
37,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0
36,1,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
19,1,2,0,0,0,15,0,0,0,0,0,9,0,0,0,0,0
20,2,2,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0
28,3,2,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
23,3,2,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0
25,3,5,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
16,5,5,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0
25,8,5,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
23,11,6,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
22,13,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
7,12,6,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0
9,13,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
10,18,5,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
14,19,5,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
18,18,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
18,16,3,0,0,0,3,0,0,1,1,0,4,0,0,0,0,0
