Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
28,22,2,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0
25,20,2,0,0,0,7,0,0,1,0,0,7,0,1,0,0,0
36,18,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
38,16,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
41,15,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0
38,14,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0
14,7,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0
39,14,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0
34,14,0,0,2,0,3,0,0,0,0,0,10,0,0,0,0,0
33,20,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
34,20,1,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0
