Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
24,18,1,0,0,0,10,0,0,0,0,0,7,0,1,0,0,0
36,15,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
41,13,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
45,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12,1,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0
35,14,1,0,4,0,5,0,0,0,0,0,2,0,0,0,0,0
29,14,2,0,4,0,10,0,0,0,0,0,1,0,1,0,0,0
