Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,13,6,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0
23,13,6,0,0,0,9,1,0,0,0,0,4,0,1,0,0,0
23,12,4,0,0,0,8,1,0,0,0,0,9,0,0,0,0,0
30,11,3,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0
42,10,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
41,9,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
28,11,3,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
20,13,4,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0
21,14,4,0,0,0,11,0,1,0,0,0,6,0,0,0,0,0
29,14,5,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0
31,9,6,0,0,0,7,0,1,0,0,0,2,0,1,0,0,0
