Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,17,3,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
16,17,3,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0
17,17,4,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
21,14,4,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
27,13,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
16,12,2,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0
10,9,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
10,4,2,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0
28,1,2,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0
46,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2,2,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
10,3,2,0,0,0,28,0,0,0,0,0,7,0,0,0,0,0
14,5,3,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0
19,10,4,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
21,14,4,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
25,15,4,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
23,16,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
17,17,4,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
19,17,3,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
17,16,3,0,0,0,9,0,0,1,0,0,3,0,1,0,0,0
