Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
18,31,3,0,0,0,8,1,0,0,0,0,2,0,3,0,0,0
22,28,3,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
29,26,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
34,25,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
34,23,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
23,16,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
33,23,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
36,25,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,26,3,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
20,27,3,0,0,0,8,1,0,0,0,0,7,0,0,0,0,0
