Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
9,14,0,0,0,0,7,0,0,0,0,0,1,0,5,0,0,0
20,11,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
20,9,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
22,7,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
27,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0
22,7,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
21,9,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
18,11,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0
10,12,0,0,0,0,7,1,0,0,1,0,4,0,1,0,0,0
