Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
20,20,2,0,0,0,9,1,1,0,0,0,6,0,1,0,0,0
29,20,1,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0
35,20,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
36,20,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
35,19,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
26,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
38,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35,20,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
31,21,1,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0
21,21,1,0,0,0,8,0,1,0,0,0,8,0,0,0,0,0
