Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,12,4,0,0,0,7,0,0,1,0,0,3,0,3,0,0,0
27,11,4,0,0,0,7,0,0,1,0,0,8,0,1,0,0,0
31,9,2,0,0,0,10,0,0,0,0,0,6,0,1,0,0,0
31,10,2,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
31,12,2,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
27,10,2,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0
38,9,2,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
42,9,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
45,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
40,9,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0
37,10,2,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
21,11,2,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0
25,11,2,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0
34,9,2,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
37,8,3,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
