Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,16,1,0,0,0,5,0,0,0,0,0,6,0,1,0,0,0
40,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,15,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
41,14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31,14,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
31,13,1,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0
33,13,1,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0
33,14,1,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0
18,15,2,0,7,0,7,0,0,0,0,0,5,0,4,0,0,0
21,18,2,0,0,0,8,0,1,0,1,0,3,0,4,0,0,0
21,21,2,0,0,0,6,0,1,1,1,0,1,0,4,0,0,0
