Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,17,1,0,0,0,4,0,0,0,1,0,3,0,3,0,0,0
21,14,1,0,4,0,3,0,0,0,0,0,9,0,0,0,0,0
30,13,1,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0
29,13,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
27,9,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
27,13,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
33,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
33,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,16,1,0,0,0,3,1,0,0,0,0,8,0,0,0,0,0
27,18,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
16,16,2,0,0,0,6,2,0,1,0,0,7,0,2,0,0,0
