Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
24,16,0,0,0,0,11,0,0,2,0,0,1,0,3,0,0,0
28,15,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
22,15,0,0,0,0,9,0,0,0,0,0,10,0,1,0,0,0
40,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,13,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,13,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
38,14,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
22,16,0,0,0,0,17,0,0,1,0,0,1,0,0,0,0,0
16,16,0,0,0,0,20,0,0,1,0,0,4,0,0,0,0,0
