Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
10,15,2,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0
11,12,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
10,15,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
9,17,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
9,17,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
12,15,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
12,10,1,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0
22,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,10,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
12,12,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
10,13,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
10,16,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
11,15,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
9,11,2,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
10,15,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
12,16,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
12,15,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
