Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,22,7,0,0,0,3,0,0,0,1,0,3,0,3,0,0,0
12,24,9,0,0,0,3,0,0,0,0,0,6,0,1,0,0,0
18,23,9,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
13,24,7,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
17,26,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
11,19,7,0,0,0,4,0,0,0,0,0,13,0,1,0,0,0
24,16,7,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
20,14,5,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
21,13,6,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
23,12,7,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
25,12,7,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
24,11,6,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
19,9,4,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0
28,10,4,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
31,9,3,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
30,6,3,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
35,6,3,2,1,0,4,0,0,0,0,0,4,0,0,0,0,0
38,5,3,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0
37,5,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,1,42,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,43,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,5,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,5,3,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0
40,7,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
18,8,4,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0
24,10,5,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
28,11,5,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
27,10,5,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
20,11,6,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
28,9,6,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
22,11,6,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
20,14,6,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
21,15,5,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
24,19,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
23,17,5,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0
16,17,5,1,0,0,8,0,0,0,0,0,7,0,1,0,0,0
