Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
9,12,7,1,0,0,6,2,0,0,1,0,13,0,2,0,0,0
22,12,8,0,0,0,6,2,0,0,1,0,1,0,1,0,0,0
14,10,7,0,0,0,15,2,0,0,1,0,4,0,0,0,0,0
10,10,7,0,0,0,20,2,0,0,1,0,3,0,0,0,0,0
13,9,9,0,0,0,19,2,0,0,1,0,0,0,0,0,0,0
10,11,19,0,0,0,9,2,0,0,0,0,2,0,0,0,0,0
6,13,25,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
5,6,32,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
2,5,34,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
2,6,43,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,42,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
0,9,41,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
1,9,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7,40,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
7,5,38,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
8,5,36,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
7,5,34,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
5,4,30,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,13,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,28,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,30,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0
5,7,36,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0
3,7,39,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
1,7,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,9,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,7,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,7,39,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
1,12,34,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
2,9,31,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
7,9,22,0,0,0,10,2,0,0,0,0,3,0,0,0,0,0
9,10,21,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0
11,8,12,0,0,0,11,2,0,1,0,0,7,0,1,0,0,0
21,7,4,0,0,0,12,2,0,2,0,0,4,0,1,0,0,0
